Month,Day,Fajr_Begin,Shorok_Begin,Dhuhr_Begin,Asr_Begin,Magrib_Begin,Isha_Begin,Fajr_Egama,Dhuhr_Egama,Asr_Egama,Magrib_Egama,Isha_Egama
January,26,6:23,7:45,12:35,3:42,5:24,6:47,6:30,12:45,4:00,5:28,7:30
January,27,6:22,7:44,12:35,3:44,5:26,6:49,6:30,12:45,4:00,5:30,7:30
January,28,6:20,7:42,12:36,3:46,5:28,6:51,6:30,12:45,4:00,5:32,7:30
January,29,6:20,7:41,12:36,3:47,5:30,6:52,6:30,12:45,4:00,5:34,7:30
January,30,6:19,7:40,12:36,3:49,5:31,6:53,6:30,12:45,4:15,5:35,7:30
January,31,6:18,7:39,12:36,3:50,5:32,6:54,6:30,12:45,4:15,5:36,7:30
February,1,6:17,7:38,12:36,3:51,5:34,6:56,6:30,12:45,4:15,5:38,7:30
February,2,6:16,7:37,12:36,3:53,5:35,6:57,6:30,12:45,4:15,5:39,7:30
February,3,6:16,7:37,12:36,3:53,5:35,6:57,6:30,12:45,4:15,5:39,7:30
February,4,6:14,7:35,12:37,3:55,5:37,6:59,6:30,12:45,4:15,5:41,7:30
February,5,6:13,7:34,12:37,3:57,5:39,7:00,6:30,12:45,4:15,5:43,7:30
February,6,6:12,7:32,12:37,3:58,5:41,7:02,6:30,12:45,4:15,5:45,7:30
February,7,6:11,7:31,12:37,3:59,5:42,7:03,6:30,12:45,4:15,5:46,7:30
February,8,6:10,7:30,12:37,4:01,5:43,7:04,6:30,12:45,4:15,5:47,7:30
February,9,6:09,7:29,12:37,4:02,5:45,7:05,6:30,12:45,4:15,5:49,7:30
February,10,6:09,7:29,12:37,4:02,5:45,7:05,6:30,12:45,4:30,5:49,7:30
February,11,6:07,7:27,12:37,4:03,5:46,7:07,6:30,12:45,4:30,5:50,7:30
February,12,6:05,7:25,12:37,4:06,5:49,7:09,6:30,12:45,4:30,5:53,7:30
February,13,6:04,7:23,12:37,4:07,5:50,7:10,6:30,12:45,4:30,5:54,7:30
February,14,6:02,7:22,12:37,4:08,5:51,7:11,6:30,12:45,4:30,5:55,7:30
February,15,6:01,7:20,12:37,4:09,5:53,7:13,6:30,12:45,4:30,5:57,7:30
February,16,6:00,7:19,12:37,4:11,5:54,7:14,6:30,12:45,4:30,5:58,7:30
February,17,6:00,7:19,12:37,4:11,5:55,7:14,6:30,12:45,4:30,5:59,7:30
February,18,5:58,7:18,12:37,4:12,5:56,7:15,6:30,12:45,4:30,6:00,7:30
February,19,5:56,7:15,12:37,4:14,5:58,7:18,6:30,12:45,4:30,6:02,7:30
February,20,5:54,7:13,12:36,4:16,5:59,7:19,6:15,12:45,4:30,6:03,7:45
February,21,5:53,7:12,12:36,4:17,6:01,7:20,6:15,12:45,4:30,6:05,7:45
February,22,5:51,7:10,12:36,4:18,6:02,7:21,6:15,12:45,4:30,6:06,7:45
February,23,5:50,7:08,12:36,4:19,6:03,7:23,6:15,12:45,4:30,6:07,7:45
February,24,5:48,7:07,12:36,4:20,6:05,7:24,6:15,12:45,4:30,6:09,7:45
February,25,5:48,7:07,12:36,4:20,6:06,7:24,6:15,12:45,4:45,6:10,7:45
February,26,5:45,7:04,12:36,4:23,6:07,7:26,6:15,12:45,4:45,6:11,7:45
February,27,5:43,7:02,12:35,4:24,6:09,7:28,6:15,12:45,4:45,6:13,7:45
February,28,5:42,7:00,12:35,4:25,6:10,7:29,6:00,12:45,4:45,6:14,7:45
February,29,5:41,7:00,12:35,4:25,6:10,7:29,6:00,12:45,4:45,6:14,7:45
March,1,5:40,6:59,12:35,4:26,6:11,7:30,6:00,12:45,4:45,6:15,7:45
March,2,5:39,6:57,12:35,4:27,6:12,7:31,6:00,12:45,4:45,6:16,7:45
March,3,5:37,6:55,12:35,4:28,6:14,7:32,6:00,12:45,4:45,6:18,7:45
March,4,5:37,6:55,12:35,4:28,6:15,7:32,6:00,12:45,4:45,6:19,7:45
March,5,5:35,6:54,12:34,4:29,6:16,7:34,6:00,12:45,5:00,6:20,8:00
March,6,5:32,6:50,12:34,4:31,6:18,7:36,6:00,12:45,5:00,6:22,8:00
March,7,5:30,6:48,12:34,4:33,6:19,7:38,6:00,12:45,5:00,6:23,8:00
March,8,6:28,7:47,1:34,5:34,7:20,8:39,6:35,1:45,6:00,7:24,9:00
March,9,6:27,7:45,1:33,5:35,7:21,8:40,6:35,1:45,6:00,7:25,9:00
March,10,6:25,7:43,1:33,5:36,7:23,8:41,6:35,1:45,6:00,7:27,9:00
March,11,6:23,7:42,1:33,5:37,7:24,8:43,6:35,1:45,6:00,7:28,9:00
March,12,6:21,7:40,1:32,5:38,7:25,8:44,6:35,1:45,6:00,7:29,9:00
March,13,6:19,7:38,1:32,5:39,7:26,8:45,6:35,1:45,6:00,7:30,9:00
March,14,6:18,7:36,1:32,5:40,7:27,8:46,6:35,1:45,6:00,7:31,9:00
March,15,6:16,7:34,1:32,5:41,7:29,8:48,6:30,1:45,6:00,7:33,9:15
March,16,6:14,7:33,1:31,5:42,7:30,8:49,6:30,1:45,6:00,7:34,9:15
March,17,6:12,7:31,1:31,5:42,7:31,8:50,6:30,1:45,6:00,7:35,9:15
March,18,6:10,7:29,1:31,5:43,7:32,8:52,6:30,1:45,6:00,7:36,9:15
March,19,6:08,7:27,1:31,5:44,7:34,8:53,6:30,1:45,6:00,7:38,9:15
March,20,6:06,7:26,1:30,5:45,7:35,8:54,6:30,1:45,6:00,7:39,9:15
March,21,6:04,7:24,1:30,5:46,7:36,8:55,6:30,1:45,6:00,7:40,9:15
March,22,6:02,7:22,1:30,5:47,7:37,8:57,6:30,1:45,6:00,7:41,9:15
March,23,6:01,7:20,1:29,5:48,7:38,8:58,6:30,1:45,6:00,7:42,9:15
March,24,5:59,7:18,1:29,5:49,7:40,8:59,6:30,1:45,6:00,7:44,9:15
March,25,5:57,7:17,1:29,5:50,7:41,9:01,6:15,1:45,6:00,7:45,9:15
March,26,5:55,7:15,1:28,5:51,7:42,9:02,6:15,1:45,6:00,7:46,9:15
March,27,5:53,7:13,1:28,5:52,7:43,9:03,6:15,1:45,6:00,7:47,9:15
March,28,5:51,7:11,1:28,5:52,7:44,9:05,6:15,1:45,6:00,7:48,9:15
March,29,5:49,7:09,1:28,5:53,7:46,9:06,6:15,1:45,6:00,7:50,9:15
March,30,5:47,7:08,1:27,5:54,7:47,9:08,6:15,1:45,6:15,7:51,9:30
March,31,5:45,7:06,1:27,5:55,7:48,9:09,6:15,1:45,6:15,7:52,9:30
April,1,5:43,7:04,1:27,5:56,7:49,9:10,6:15,1:45,6:15,7:53,9:30
April,2,5:41,7:02,1:26,5:57,7:50,9:12,6:15,1:45,6:15,7:54,9:30
April,3,5:39,7:00,1:26,5:57,7:51,9:13,6:15,1:45,6:15,7:55,9:30
April,4,5:37,6:59,1:26,5:58,7:53,9:15,6:15,1:45,6:15,7:57,9:30
April,5,5:35,6:57,1:25,5:59,7:54,9:16,6:00,1:45,6:15,7:58,9:30
April,6,5:33,6:55,1:25,6:00,7:55,9:17,6:00,1:45,6:15,7:59,9:30
April,7,5:31,6:53,1:25,6:01,7:56,9:19,6:00,1:45,6:15,8:00,9:30
April,8,5:29,6:52,1:25,6:01,7:57,9:20,6:00,1:45,6:15,8:01,9:30
April,9,5:27,6:50,1:24,6:02,7:59,9:22,6:00,1:45,6:15,8:03,9:30
April,10,5:25,6:48,1:24,6:03,8:00,9:23,6:00,1:45,6:15,8:04,9:45
April,11,5:23,6:46,1:24,6:04,8:01,9:25,6:00,1:45,6:15,8:05,9:45
April,12,5:21,6:45,1:24,6:05,8:02,9:26,6:00,1:45,6:15,8:06,9:45
April,13,5:19,6:43,1:23,6:05,8:03,9:28,6:00,1:45,6:15,8:07,9:45
April,14,5:17,6:41,1:23,6:06,8:04,9:29,6:00,1:45,6:15,8:08,9:45
April,15,5:15,6:40,1:23,6:07,8:06,9:31,5:45,1:45,6:30,8:10,9:45
April,16,5:13,6:38,1:23,6:08,8:07,9:32,5:45,1:45,6:30,8:11,9:45
April,17,5:11,6:36,1:22,6:08,8:08,9:34,5:45,1:45,6:30,8:12,9:45
April,18,5:09,6:35,1:22,6:09,8:09,9:35,5:45,1:45,6:30,8:13,9:45
April,19,5:07,6:33,1:22,6:10,8:10,9:37,5:45,1:45,6:30,8:14,9:45
April,20,5:05,6:32,1:22,6:11,8:12,9:38,5:45,1:45,6:30,8:16,10:00
April,21,5:03,6:30,1:21,6:11,8:13,9:40,5:45,1:45,6:30,8:17,10:00
April,22,5:01,6:28,1:21,6:12,8:14,9:41,5:45,1:45,6:30,8:18,10:00
April,23,4:59,6:27,1:21,6:13,8:15,9:43,5:45,1:45,6:30,8:19,10:00
April,24,4:57,6:25,1:21,6:13,8:16,9:45,5:45,1:45,6:30,8:20,10:00
April,25,4:55,6:24,1:21,6:14,8:18,9:46,5:30,1:45,6:30,8:22,10:00
April,26,4:53,6:22,1:21,6:15,8:19,9:48,5:30,1:45,6:30,8:23,10:00
April,27,4:51,6:21,1:20,6:16,8:20,9:49,5:30,1:45,6:30,8:24,10:00
April,28,4:50,6:19,1:20,6:16,8:21,9:51,5:30,1:45,6:30,8:25,10:00
April,29,4:48,6:18,1:20,6:17,8:22,9:52,5:30,1:45,6:30,8:26,10:00
April,30,4:46,6:16,1:20,6:18,8:23,9:54,5:30,1:45,6:30,8:27,10:15
May,1,4:44,6:15,1:20,6:18,8:25,9:56,5:30,1:45,6:30,8:29,10:15
May,2,4:42,6:13,1:20,6:19,8:26,9:57,5:30,1:45,6:30,8:30,10:15
May,3,4:40,6:12,1:20,6:20,8:27,9:59,5:30,1:45,6:30,8:31,10:15
May,4,4:38,6:11,1:19,6:20,8:28,10:01,5:30,1:45,6:30,8:32,10:15
May,5,4:37,6:09,1:19,6:21,8:29,10:02,5:15,1:45,6:45,8:33,10:15
May,6,4:35,6:08,1:19,6:22,8:30,10:04,5:15,1:45,6:45,8:34,10:15
May,7,4:33,6:07,1:19,6:22,8:31,10:05,5:15,1:45,6:45,8:35,10:15
May,8,4:31,6:06,1:19,6:23,8:33,10:07,5:15,1:45,6:45,8:37,10:15
May,9,4:30,6:04,1:19,6:24,8:34,10:09,5:15,1:45,6:45,8:38,10:15
May,10,4:28,6:03,1:19,6:24,8:35,10:10,5:15,1:45,6:45,8:39,10:15
May,11,4:26,6:02,1:19,6:25,8:36,10:12,5:15,1:45,6:45,8:40,10:15
May,12,4:25,6:01,1:19,6:26,8:37,10:13,5:15,1:45,6:45,8:41,10:15
May,13,4:23,6:00,1:19,6:26,8:38,10:15,5:15,1:45,6:45,8:42,10:15
May,14,4:21,5:58,1:19,6:27,8:39,10:17,5:15,1:45,6:45,8:43,10:17
May,15,4:20,5:57,1:19,6:28,8:40,10:18,5:00,1:45,6:45,8:44,10:18
May,16,4:18,5:56,1:19,6:28,8:41,10:20,5:00,1:45,6:45,8:45,10:20
May,17,4:17,5:55,1:19,6:29,8:43,10:21,5:00,1:45,6:45,8:47,10:21
May,18,4:15,5:54,1:19,6:29,8:44,10:23,5:00,1:45,6:45,8:48,10:23
May,19,4:14,5:53,1:19,6:30,8:45,10:24,5:00,1:45,6:45,8:49,10:24
May,20,4:13,5:52,1:19,6:31,8:46,10:26,5:00,1:45,6:45,8:50,10:26
May,21,4:11,5:51,1:19,6:31,8:47,10:27,5:00,1:45,6:45,8:51,10:27
May,22,4:10,5:51,1:19,6:32,8:48,10:29,5:00,1:45,6:45,8:52,10:29
May,23,4:09,5:50,1:19,6:32,8:49,10:30,5:00,1:45,6:45,8:53,10:30
May,24,4:07,5:49,1:20,6:33,8:50,10:32,5:00,1:45,6:45,8:54,10:32
May,25,4:06,5:48,1:20,6:33,8:51,10:33,5:00,1:45,6:45,8:55,10:33
May,26,4:05,5:47,1:20,6:34,8:52,10:35,5:00,1:45,6:45,8:56,10:35
May,27,4:04,5:47,1:20,6:35,8:53,10:36,5:00,1:45,6:45,8:57,10:36
May,28,4:03,5:46,1:20,6:35,8:53,10:37,5:00,1:45,6:45,8:57,10:37
May,29,4:01,5:45,1:20,6:36,8:54,10:39,5:00,1:45,6:45,8:58,10:39
May,30,4:00,5:45,1:20,6:36,8:55,10:40,5:00,1:45,6:45,8:59,10:40
May,31,4:00,5:44,1:20,6:37,8:56,10:41,5:00,1:45,6:45,9:00,10:41
June,1,3:59,5:44,1:21,6:37,8:57,10:42,5:00,1:45,6:45,9:01,10:42
June,2,3:58,5:43,1:21,6:38,8:58,10:44,5:00,1:45,6:45,9:02,10:44
June,3,3:57,5:43,1:21,6:38,8:58,10:45,5:00,1:45,6:45,9:02,10:45
June,4,3:56,5:42,1:21,6:39,8:59,10:46,5:00,1:45,6:45,9:03,10:46
June,5,3:55,5:42,1:21,6:39,9:00,10:47,5:00,1:45,7:00,9:04,10:47
June,6,3:55,5:42,1:21,6:39,9:00,10:48,5:00,1:45,7:00,9:04,10:48
June,7,3:54,5:41,1:22,6:40,9:01,10:49,5:00,1:45,7:00,9:05,10:49
June,8,3:54,5:41,1:22,6:40,9:02,10:50,5:00,1:45,7:00,9:06,10:50
June,9,3:53,5:41,1:22,6:41,9:02,10:51,5:00,1:45,7:00,9:06,10:51
June,10,3:53,5:41,1:22,6:41,9:03,10:52,5:00,1:45,7:00,9:07,10:52
June,11,3:52,5:40,1:22,6:42,9:04,10:52,5:00,1:45,7:00,9:08,10:52
June,12,3:52,5:40,1:23,6:42,9:04,10:53,5:00,1:45,7:00,9:08,10:53
June,13,3:52,5:40,1:23,6:42,9:05,10:54,5:00,1:45,7:00,9:09,10:54
June,14,3:51,5:40,1:23,6:43,9:05,10:54,5:00,1:45,7:00,9:09,10:54
June,15,3:51,5:40,1:23,6:43,9:05,10:55,5:00,1:45,7:00,9:09,10:55
June,16,3:51,5:40,1:23,6:43,9:06,10:56,5:00,1:45,7:00,9:10,10:56
June,17,3:51,5:40,1:24,6:43,9:06,10:56,5:00,1:45,7:00,9:10,10:56
June,18,3:51,5:40,1:24,6:44,9:07,10:56,5:00,1:45,7:00,9:11,10:56
June,19,3:51,5:40,1:24,6:44,9:07,10:57,5:00,1:45,7:00,9:11,10:57
June,20,3:52,5:40,1:24,6:44,9:07,10:57,5:00,1:45,7:00,9:11,10:57
June,21,3:52,5:41,1:24,6:44,9:07,10:57,5:00,1:45,7:00,9:11,10:57
June,22,3:52,5:41,1:25,6:45,9:07,10:57,5:00,1:45,7:00,9:11,10:57
June,23,3:52,5:41,1:25,6:45,9:08,10:57,5:00,1:45,7:00,9:12,10:57
June,24,3:53,5:41,1:25,6:45,9:08,10:58,5:00,1:45,7:00,9:12,10:58
June,25,3:53,5:42,1:25,6:45,9:08,10:58,5:00,1:45,7:00,9:12,10:58
June,26,3:54,5:42,1:26,6:45,9:08,10:57,5:00,1:45,7:00,9:12,10:57
June,27,3:54,5:42,1:26,6:45,9:08,10:57,5:00,1:45,7:00,9:12,10:57
June,28,3:55,5:43,1:26,6:45,9:08,10:57,5:00,1:45,7:00,9:12,10:57
June,29,3:55,5:43,1:26,6:46,9:08,10:57,5:00,1:45,7:00,9:12,10:57
June,30,3:56,5:44,1:26,6:46,9:08,10:57,5:00,1:45,7:00,9:12,10:57
July,1,3:57,5:44,1:27,6:46,9:08,10:56,5:00,1:45,7:00,9:12,10:56
July,2,3:58,5:45,1:27,6:46,9:07,10:56,5:00,1:45,7:00,9:11,10:56
July,3,3:59,5:45,1:27,6:46,9:07,10:55,5:00,1:45,7:00,9:11,10:55
July,4,4:00,5:46,1:27,6:46,9:07,10:55,5:00,1:45,7:00,9:11,10:55
July,5,4:01,5:47,1:27,6:45,9:07,10:54,5:00,1:45,7:00,9:11,10:54
July,6,4:02,5:47,1:27,6:45,9:06,10:53,5:00,1:45,7:00,9:10,10:53
July,7,4:03,5:48,1:28,6:45,9:06,10:53,5:00,1:45,7:00,9:10,10:53
July,8,4:04,5:49,1:28,6:45,9:06,10:52,5:00,1:45,7:00,9:10,10:52
July,9,4:05,5:49,1:28,6:45,9:05,10:51,5:00,1:45,7:00,9:09,10:51
July,10,4:06,5:50,1:28,6:45,9:05,10:50,5:00,1:45,7:00,9:09,10:50
July,11,4:07,5:51,1:28,6:45,9:04,10:49,5:00,1:45,7:00,9:08,10:49
July,12,4:08,5:52,1:28,6:44,9:04,10:48,5:00,1:45,7:00,9:08,10:48
July,13,4:10,5:53,1:28,6:44,9:03,10:47,5:00,1:45,7:00,9:07,10:47
July,14,4:11,5:53,1:29,6:44,9:02,10:46,5:00,1:45,7:00,9:06,10:46
July,15,4:12,5:54,1:29,6:43,9:02,10:45,5:15,1:45,7:00,9:06,10:45
July,16,4:14,5:55,1:29,6:43,9:01,10:44,5:15,1:45,7:00,9:05,10:44
July,17,4:15,5:56,1:29,6:43,9:00,10:43,5:15,1:45,7:00,9:04,10:43
July,18,4:16,5:57,1:29,6:42,9:00,10:42,5:15,1:45,7:00,9:04,10:42
July,19,4:18,5:58,1:29,6:42,8:59,10:40,5:15,1:45,7:00,9:03,10:40
July,20,4:19,5:59,1:29,6:42,8:58,10:39,5:15,1:45,7:00,9:02,10:39
July,21,4:21,6:00,1:29,6:41,8:57,10:38,5:15,1:45,7:00,9:01,10:38
July,22,4:22,6:01,1:29,6:41,8:56,10:36,5:15,1:45,7:00,9:00,10:36
July,23,4:24,6:02,1:29,6:40,8:55,10:35,5:15,1:45,7:00,8:59,10:35
July,24,4:25,6:03,1:29,6:40,8:54,10:33,5:15,1:45,7:00,8:58,10:33
July,25,4:27,6:04,1:29,6:39,8:53,10:32,5:15,1:45,6:45,8:57,10:32
July,26,4:28,6:05,1:29,6:38,8:52,10:30,5:15,1:45,6:45,8:56,10:30
July,27,4:30,6:06,1:29,6:38,8:51,10:29,5:15,1:45,6:45,8:55,10:29
July,28,4:31,6:07,1:29,6:37,8:50,10:27,5:15,1:45,6:45,8:54,10:27
July,29,4:33,6:08,1:29,6:37,8:49,10:26,5:15,1:45,6:45,8:53,10:26
July,30,4:34,6:09,1:29,6:36,8:48,10:24,5:30,1:45,6:45,8:52,10:24
July,31,4:36,6:10,1:29,6:35,8:47,10:22,5:30,1:45,6:45,8:51,10:22
August,1,4:37,6:11,1:29,6:35,8:46,10:21,5:30,1:45,6:45,8:50,10:21
August,2,4:39,6:12,1:29,6:34,8:44,10:19,5:30,1:45,6:45,8:48,10:19
August,3,4:40,6:13,1:29,6:33,8:43,10:17,5:30,1:45,6:45,8:47,10:17
August,4,4:42,6:14,1:29,6:32,8:42,10:16,5:30,1:45,6:45,8:46,10:16
August,5,4:44,6:15,1:29,6:31,8:41,10:14,5:30,1:45,6:45,8:45,10:15
August,6,4:45,6:16,1:29,6:31,8:39,10:12,5:30,1:45,6:45,8:43,10:15
August,7,4:47,6:17,1:28,6:30,8:38,10:10,5:30,1:45,6:45,8:42,10:15
August,8,4:48,6:18,1:28,6:29,8:37,10:08,5:30,1:45,6:45,8:41,10:15
August,9,4:50,6:20,1:28,6:28,8:35,10:07,5:30,1:45,6:45,8:39,10:15
August,10,4:51,6:21,1:28,6:27,8:34,10:05,5:30,1:45,6:45,8:38,10:15
August,11,4:53,6:22,1:28,6:26,8:32,10:03,5:30,1:45,6:45,8:36,10:15
August,12,4:55,6:23,1:28,6:25,8:31,10:01,5:30,1:45,6:45,8:35,10:15
August,13,4:56,6:24,1:28,6:24,8:29,9:59,5:30,1:45,6:45,8:33,10:15
August,14,4:58,6:25,1:27,6:23,8:28,9:57,5:30,1:45,6:45,8:32,10:15
August,15,4:59,6:26,1:27,6:22,8:26,9:55,5:45,1:45,6:45,8:30,10:00
August,16,5:01,6:27,1:27,6:21,8:25,9:53,5:45,1:45,6:45,8:29,10:00
August,17,5:02,6:28,1:27,6:20,8:23,9:51,5:45,1:45,6:45,8:27,10:00
August,18,5:04,6:30,1:27,6:19,8:22,9:49,5:45,1:45,6:45,8:26,10:00
August,19,5:05,6:31,1:26,6:18,8:20,9:47,5:45,1:45,6:45,8:24,10:00
August,20,5:07,6:32,1:26,6:17,8:19,9:46,5:45,1:45,6:30,8:23,10:00
August,21,5:08,6:33,1:26,6:15,8:17,9:44,5:45,1:45,6:30,8:21,10:00
August,22,5:10,6:34,1:26,6:14,8:15,9:42,5:45,1:45,6:30,8:19,10:00
August,23,5:11,6:35,1:25,6:13,8:14,9:40,5:45,1:45,6:30,8:18,10:00
August,24,5:13,6:36,1:25,6:12,8:12,9:38,5:45,1:45,6:30,8:16,10:00
August,25,5:14,6:37,1:25,6:11,8:11,9:36,5:45,1:45,6:30,8:15,9:45
August,26,5:16,6:39,1:25,6:09,8:09,9:34,5:45,1:45,6:30,8:13,9:45
August,27,5:17,6:40,1:24,6:08,8:07,9:32,5:45,1:45,6:30,8:11,9:45
August,28,5:18,6:41,1:24,6:07,8:05,9:30,5:45,1:45,6:30,8:09,9:45
August,29,5:20,6:42,1:24,6:05,8:04,9:28,5:45,1:45,6:30,8:08,9:45
August,30,5:21,6:43,1:23,6:04,8:02,9:25,6:00,1:45,6:15,8:06,9:45
August,31,5:23,6:44,1:23,6:03,8:00,9:23,6:00,1:45,6:15,8:04,9:45
September,1,5:24,6:45,1:23,6:01,7:59,9:21,6:00,1:45,6:15,8:03,9:45
September,2,5:25,6:46,1:22,6:00,7:57,9:19,6:00,1:45,6:15,8:01,9:45
September,3,5:27,6:47,1:22,5:59,7:55,9:17,6:00,1:45,6:15,7:59,9:45
September,4,5:28,6:49,1:22,5:57,7:53,9:15,6:00,1:45,6:15,7:57,9:45
September,5,5:30,6:50,1:21,5:56,7:51,9:13,6:00,1:45,6:15,7:55,9:30
September,6,5:31,6:51,1:21,5:55,7:50,9:11,6:00,1:45,6:15,7:54,9:30
September,7,5:32,6:52,1:21,5:53,7:48,9:09,6:00,1:45,6:15,7:52,9:30
September,8,5:34,6:53,1:20,5:52,7:46,9:07,6:00,1:45,6:15,7:50,9:30
September,9,5:35,6:54,1:20,5:50,7:44,9:05,6:00,1:45,6:15,7:48,9:30
September,10,5:36,6:55,1:20,5:49,7:43,9:03,6:15,1:45,6:00,7:47,9:15
September,11,5:38,6:56,1:19,5:47,7:41,9:01,6:15,1:45,6:00,7:45,9:15
September,12,5:39,6:57,1:19,5:46,7:39,8:59,6:15,1:45,6:00,7:43,9:15
September,13,5:40,6:59,1:19,5:44,7:37,8:57,6:15,1:45,6:00,7:41,9:15
September,14,5:41,7:00,1:18,5:43,7:35,8:55,6:15,1:45,6:00,7:39,9:15
September,15,5:43,7:01,1:18,5:41,7:33,8:53,6:15,1:45,6:00,7:37,9:00
September,16,5:44,7:02,1:18,5:40,7:32,8:51,6:15,1:45,6:00,7:36,9:00
September,17,5:45,7:03,1:17,5:38,7:30,8:49,6:15,1:45,6:00,7:34,9:00
September,18,5:46,7:04,1:17,5:37,7:28,8:47,6:15,1:45,6:00,7:32,9:00
September,19,5:48,7:05,1:17,5:35,7:26,8:45,6:15,1:45,6:00,7:30,9:00
September,20,5:49,7:06,1:16,5:34,7:24,8:43,6:15,1:45,5:45,7:28,9:00
September,21,5:50,7:07,1:16,5:32,7:22,8:41,6:15,1:45,5:45,7:26,9:00
September,22,5:51,7:09,1:15,5:31,7:21,8:39,6:15,1:45,5:45,7:25,9:00
September,23,5:53,7:10,1:15,5:29,7:19,8:38,6:15,1:45,5:45,7:23,9:00
September,24,5:54,7:11,1:15,5:28,7:17,8:36,6:15,1:45,5:45,7:21,9:00
September,25,5:55,7:12,1:14,5:26,7:15,8:34,6:30,1:45,5:45,7:19,8:45
September,26,5:56,7:13,1:14,5:24,7:13,8:32,6:30,1:45,5:45,7:17,8:45
September,27,5:58,7:14,1:14,5:23,7:12,8:30,6:30,1:45,5:45,7:16,8:45
September,28,5:59,7:15,1:13,5:21,7:10,8:28,6:30,1:45,5:45,7:14,8:45
September,29,6:00,7:17,1:13,5:20,7:08,8:26,6:30,1:45,5:45,7:12,8:45
September,30,6:01,7:18,1:13,5:18,7:06,8:24,6:30,1:45,5:30,7:10,8:45
October,1,6:02,7:19,1:12,5:17,7:04,8:22,6:30,1:45,5:30,7:08,8:45
October,2,6:04,7:20,1:12,5:15,7:02,8:21,6:30,1:45,5:30,7:06,8:45
October,3,6:05,7:21,1:12,5:13,7:01,8:19,6:30,1:45,5:30,7:05,8:45
October,4,6:06,7:22,1:11,5:12,6:59,8:17,6:30,1:45,5:30,7:03,8:45
October,5,6:07,7:23,1:11,5:10,6:57,8:15,6:30,1:45,5:30,7:01,8:30
October,6,6:08,7:25,1:11,5:09,6:55,8:13,6:30,1:45,5:30,6:59,8:30
October,7,6:09,7:26,1:11,5:07,6:54,8:12,6:30,1:45,5:30,6:58,8:30
October,8,6:11,7:27,1:10,5:05,6:52,8:10,6:30,1:45,5:30,6:56,8:30
October,9,6:12,7:28,1:10,5:04,6:50,8:08,6:30,1:45,5:30,6:54,8:30
October,10,6:13,7:29,1:10,5:02,6:48,8:07,6:30,1:45,5:15,6:52,8:15
October,11,6:14,7:31,1:09,5:01,6:47,8:05,6:30,1:45,5:15,6:51,8:15
October,12,6:15,7:32,1:09,4:59,6:45,8:03,6:30,1:45,5:15,6:49,8:15
October,13,6:16,7:33,1:09,4:58,6:43,8:02,6:30,1:45,5:15,6:47,8:15
